1301,極洋
1332,日水
1333,マルハニチロ
1352,ホウスイ
1376,カネコ種
1377,サカタのタネ
1379,ホクト
1384,ホクリヨウg
1413,ヒノキヤＧ
1414,ショーボンド
1417,ミライトＨＤ
1419,タマホーム
1420,サンヨーＨ
1429,日本アクア
1430,Ｆコーポ
1433,ベステラ
1435,ＴＡＴＥＲＵ
1446,キャンディル
1448,ＳバリューＨ
1514,住石ＨＤ
1515,日鉄鉱
1518,三井松島ＨＤ
1605,国際帝石
1662,石油資源
1663,Ｋ＆Ｏエナジ
1712,ダイセキＳ
1716,第一カッター
1717,明豊ファシリ
1719,安藤ハザマ
1720,東急建設
1721,コムシスＨＤ
1726,Ｂｒ．ＨＤ
1762,高松Ｇ
1766,東建コーポ
1768,ソネック
1780,ヤマウラ
1801,大成建
1802,大林組
1803,清水建
1805,飛島建
1808,長谷工
1810,松井建
1811,銭高組
1812,鹿島
1813,不動テトラ
1814,大末建
1815,鉄建建設
1820,西松建
1821,三住建設
1822,大豊建
1824,前田建
1826,佐田建
1827,ナカノフドー
1833,奥村組
1835,東鉄工
1847,イチケン
1848,富士ＰＳ
1852,浅沼組
1860,戸田建
1861,熊谷組
1866,北野建
1867,植木組
1870,矢作建
1871,ＰＳ三菱
1873,日本ハウスＨ
1878,大東建
1879,新日本建
1881,ＮＩＰＰＯ
1882,東亜道
1883,前田道
1884,日道路
1885,東亜建
1887,日本国土開発
1888,若築建
1890,東洋建
1893,五洋建
1898,世紀東急
1899,福田組
1909,日本ドライ
1911,住友林
1914,日基礎
1921,巴
1925,大和ハウス
1926,ライト工
1928,積水ハウス
1929,日特建
1930,北陸電工
1934,ユアテック
1938,日リーテック
1939,四電工
1941,中電工
1942,関電工
1944,きんでん
1945,東京エネシス
1946,トーエネク
1949,住友電設
1950,日本電設
1951,協エクシオ
1952,新日空調
1954,日工営
1959,九電工
1961,三機工
1963,日揮ＨＤ
1964,中外炉
1967,ヤマト
1968,太平電
1969,高砂熱
1972,三晃金
1973,ＮＥＳＩＣ
1975,朝日工
1976,明星工
1979,大気社
1980,ダイダン
1982,日比谷設備
2001,日本粉
2002,日清粉Ｇ
2003,日東富士
2004,昭和産
2009,鳥越粉
2053,中部飼
